time,cpu,memory,incident
57:19.0,0.0,67.3,HEALTHY
08:38.4,0.0,75.9,WARNING
20:38.2,0.0,82.4,WARNING
22:15.1,0.0,81.2,WARNING
58:13.6,0.0,74.3,WARNING
58:18.6,0.0,74.8,WARNING
58:23.6,0.0,75.3,WARNING
58:28.6,0.0,75.3,WARNING
58:33.6,0.0,75.7,WARNING
58:38.6,0.0,75.5,WARNING
58:43.6,0.0,75.4,WARNING
58:48.6,0.0,75.1,WARNING
58:53.6,0.0,74.6,WARNING
58:58.6,0.0,74.4,WARNING
59:03.6,0.0,73.9,WARNING
59:08.6,0.0,73.9,WARNING
59:13.6,0.0,74.8,WARNING
59:18.6,0.0,74.6,WARNING
59:23.6,0.0,74.7,WARNING
59:28.6,0.0,74.1,WARNING
59:33.6,0.0,74.7,WARNING
59:38.6,0.0,71.0,WARNING
59:43.6,0.0,71.0,WARNING
59:48.6,0.0,71.1,WARNING
59:53.6,0.0,71.4,WARNING
59:58.6,0.0,71.4,WARNING
00:03.6,100.0,71.7,CRITICAL
00:08.6,16.7,71.5,WARNING
00:13.6,0.0,71.6,WARNING
00:18.6,0.0,71.5,WARNING
00:23.6,0.0,71.7,WARNING
00:28.6,0.0,71.7,WARNING
00:33.6,0.0,71.5,WARNING
00:38.6,0.0,71.5,WARNING
00:43.6,0.0,72.3,WARNING
00:48.6,0.0,73.3,WARNING
00:53.6,0.0,72.8,WARNING
00:58.5,0.0,72.7,WARNING
01:03.5,0.0,72.8,WARNING
01:08.5,0.0,72.5,WARNING
01:13.5,71.4,72.1,WARNING
01:18.5,0.0,72.1,WARNING
01:23.5,0.0,72.2,WARNING
01:28.5,0.0,72.2,WARNING
01:33.5,0.0,72.1,WARNING
01:38.5,0.0,72.1,WARNING
01:43.5,0.0,71.0,WARNING
01:48.5,0.0,70.9,WARNING
01:53.5,0.0,70.9,WARNING
01:58.5,0.0,70.9,WARNING
02:03.5,0.0,70.9,WARNING
02:08.5,0.0,70.9,WARNING
02:13.5,0.0,70.9,WARNING
02:18.5,0.0,70.7,WARNING
02:23.5,0.0,70.6,WARNING
02:28.5,0.0,70.1,WARNING
02:33.5,0.0,70.2,WARNING
02:38.5,0.0,70.6,WARNING
02:43.5,0.0,70.8,WARNING
02:48.5,0.0,70.8,WARNING
02:53.5,0.0,70.9,WARNING
02:58.5,44.4,70.8,WARNING
03:03.5,0.0,71.0,WARNING
03:08.5,18.9,70.8,WARNING
03:13.5,0.0,71.0,WARNING
03:18.5,0.0,71.3,WARNING
03:23.5,16.7,71.1,WARNING
03:26.7,0.0,71.5,WARNING
03:28.5,0.0,71.2,WARNING
03:33.5,0.0,70.1,WARNING
03:38.5,0.0,70.0,HEALTHY
03:43.5,0.0,70.4,WARNING
03:48.5,0.0,70.0,HEALTHY
03:53.5,0.0,70.3,WARNING
03:58.5,100.0,70.2,CRITICAL
04:03.5,21.3,70.5,WARNING
04:08.5,100.0,70.2,CRITICAL
04:13.5,0.0,70.6,WARNING
04:18.5,0.0,70.3,WARNING
